rep,documents,operation,sample,latency_ns,correct
1,256,unicode,11,2986424,1
1,256,exact,12,2949364,1
1,256,near,12,2946960,1
1,256,miss,12,2917665,1
1,256,unicode,12,2971686,1
1,256,exact,13,2931060,1
1,256,near,13,3185227,1
1,256,miss,13,2913627,1
1,256,unicode,13,2993357,1
1,256,exact,14,2934396,1
1,256,near,14,2931861,1
1,256,miss,14,2937221,1
1,256,unicode,14,2972006,1
1,256,exact,15,2914008,1
1,256,near,15,2932233,1
1,256,miss,15,2929828,1
1,256,unicode,15,2962449,1
1,256,exact,16,2915822,1
1,256,near,16,2944054,1
1,256,miss,16,2906664,1
1,256,unicode,16,2954424,1
1,256,exact,17,2904510,1
1,256,near,17,2920751,1
1,256,miss,17,2906644,1
1,256,unicode,17,2948022,1
1,256,exact,18,2925268,1
1,256,near,18,2911724,1
1,256,miss,18,2919408,1
1,256,unicode,18,2935719,1
1,256,exact,19,2919779,1
1,256,near,19,2925429,1
1,256,miss,19,2890895,1
1,256,unicode,19,2970495,1
1,256,exact,20,2920941,1
1,256,near,20,2904290,1
1,256,miss,20,2892096,1
1,256,unicode,20,2956418,1
1,256,exact,21,2924929,1
1,256,near,21,2900402,1
1,256,miss,21,2909429,1
1,256,unicode,21,2996994,1
1,256,exact,22,2896715,1
1,256,near,22,2919488,1
1,256,miss,22,2891386,1
1,256,unicode,22,2962399,1
1,256,exact,23,2900042,1
1,256,near,23,2922654,1
1,256,miss,23,2915140,1
1,256,unicode,23,2945146,1
1,256,exact,24,2920049,1
1,256,near,24,2901916,1
1,256,miss,24,2916292,1
1,256,unicode,24,2942291,1
1,256,exact,25,2931430,1
1,256,near,25,2919057,1
1,256,miss,25,2895073,1
1,256,unicode,25,2960695,1
1,256,exact,26,2912936,1
1,256,near,26,2934156,1
1,256,miss,26,2906614,1
1,256,unicode,26,2956007,1
1,256,exact,27,2945046,1
1,256,near,27,2906694,1
1,256,miss,27,2915049,1
1,256,unicode,27,2956979,1
1,256,exact,28,2901073,1
1,256,near,28,2956588,1
1,256,miss,28,2902366,1
1,256,unicode,28,2985042,1
1,256,exact,29,2895513,1
1,256,near,29,2932893,1
1,256,miss,29,2921212,1
1,256,unicode,29,2952791,1
1,256,exact,30,2920119,1
1,256,near,30,2925991,1
1,256,miss,30,2892097,1
1,256,unicode,30,2952540,1
1,256,exact,31,2926952,1
1,256,near,31,2921151,1
1,256,miss,31,2893589,1
1,256,unicode,31,2975393,1
1,256,exact,32,2939816,1
1,256,near,32,3012243,1
